environment | time (second),combined_concs | totEGFRphos (nanomolar),combined_concs | totGrb_EGFR (nanomolar),combined_concs | totGrb_Shc (nanomolar),combined_concs | totPLCgammaphos (nanomolar),combined_concs | totShc_EGFR (nanomolar),combined_concs | totShcphos (nanomolar),combined_concs | totSOS_EGFR (nanomolar),EGF | EGF (nanomolar),EGF | EGF' (nanomolar/second),G_S | G_S (nanomolar),G_S | G_S' (nanomolar/second),Grb | Grb (nanomolar),Grb | Grb' (nanomolar/second),PLC_gamma | PLC_gamma (nanomolar),PLC_gamma | PLC_gamma' (nanomolar/second),PLC_gamma_P | PLC_gamma_P (nanomolar),PLC_gamma_P | PLC_gamma_P' (nanomolar/second),PLC_gamma_P_I | PLC_gamma_P_I (nanomolar),PLC_gamma_P_I | PLC_gamma_P_I' (nanomolar/second),R | R (nanomolar),R | R' (nanomolar/second),R2 | R2 (nanomolar),R2 | R2' (nanomolar/second),R_G | R_G (nanomolar),R_G | R_G' (nanomolar/second),R_G_S | R_G_S (nanomolar),R_G_S | R_G_S' (nanomolar/second),R_PL | R_PL (nanomolar),R_PL | R_PL' (nanomolar/second),R_PLP | R_PLP (nanomolar),R_PLP | R_PLP' (nanomolar/second),R_Sh | R_Sh (nanomolar),R_Sh | R_Sh' (nanomolar/second),R_Sh_G | R_Sh_G (nanomolar),R_Sh_G | R_Sh_G' (nanomolar/second),R_Sh_G_S | R_Sh_G_S (nanomolar),R_Sh_G_S | R_Sh_G_S' (nanomolar/second),R_ShP | R_ShP (nanomolar),R_ShP | R_ShP' (nanomolar/second),Ra | Ra (nanomolar),Ra | Ra' (nanomolar/second),RP | RP (nanomolar),RP | RP' (nanomolar/second),Sh_G | Sh_G (nanomolar),Sh_G | Sh_G' (nanomolar/second),Sh_G_S | Sh_G_S (nanomolar),Sh_G_S | Sh_G_S' (nanomolar/second),Shc | Shc (nanomolar),Shc | Shc' (nanomolar/second),ShP | ShP (nanomolar),ShP | ShP' (nanomolar/second),SOS | SOS (nanomolar),SOS | SOS' (nanomolar/second),v1 | k1 (second_order_rate_constant),v1 | k1_ (first_order_rate_constant),v1 | v1 (flux),v10 | k10 (second_order_rate_constant),v10 | k10_ (first_order_rate_constant),v10 | v10 (flux),v11 | k11 (first_order_rate_constant),v11 | k11_ (second_order_rate_constant),v11 | v11 (flux),v12 | k12 (first_order_rate_constant),v12 | k12_ (second_order_rate_constant),v12 | v12 (flux),v13 | k13 (second_order_rate_constant),v13 | k13_ (first_order_rate_constant),v13 | v13 (flux),v14 | k14 (first_order_rate_constant),v14 | k14_ (first_order_rate_constant),v14 | v14 (flux),v15 | k15 (first_order_rate_constant),v15 | k15_ (second_order_rate_constant),v15 | v15 (flux),v17 | k17 (second_order_rate_constant),v17 | k17_ (first_order_rate_constant),v17 | v17 (flux),v18 | k18 (first_order_rate_constant),v18 | k18_ (second_order_rate_constant),v18 | v18 (flux),v19 | k19 (second_order_rate_constant),v19 | k19_ (first_order_rate_constant),v19 | v19 (flux),v2 | k2 (second_order_rate_constant),v2 | k2_ (first_order_rate_constant),v2 | v2 (flux),v20 | k20 (first_order_rate_constant),v20 | k20_ (second_order_rate_constant),v20 | v20 (flux),v21 | k21 (second_order_rate_constant),v21 | k21_ (first_order_rate_constant),v21 | v21 (flux),v22 | k22 (second_order_rate_constant),v22 | k22_ (first_order_rate_constant),v22 | v22 (flux),v23 | k23 (first_order_rate_constant),v23 | k23_ (second_order_rate_constant),v23 | v23 (flux),v24 | k24 (second_order_rate_constant),v24 | k24_ (first_order_rate_constant),v24 | v24 (flux),v25 | k25 (first_order_rate_constant),v25 | k25_ (first_order_rate_constant),v25 | v25 (flux),v3 | k3 (first_order_rate_constant),v3 | k3_ (first_order_rate_constant),v3 | v3 (flux),v5 | k5 (second_order_rate_constant),v5 | k5_ (first_order_rate_constant),v5 | v5 (flux),v6 | k6 (first_order_rate_constant),v6 | k6_ (first_order_rate_constant),v6 | v6 (flux),v7 | k7 (first_order_rate_constant),v7 | k7_ (second_order_rate_constant),v7 | v7 (flux),v9 | k9 (second_order_rate_constant),v9 | k9_ (first_order_rate_constant),v9 | v9 (flux)
40,97.551,16.3099,59.9755,5.26038,9.78466,149.922,4.23361,580.065,-0.000679199,1.45516,-0.00784102,10.9588,-0.0568272,0.016988,-0.0015357,3.18764,-0.0391253,99.6073,0.199416,0.0651101,-0.000679199,0.253381,-0.00217077,9.91919,0.275047,2.6914,0.0996187,0.115304,-0.0101316,2.07274,-0.148623,0.060835,-9.31575e-06,2.15708,-0.0221422,1.54221,-0.0113238,6.08537,-0.00229065,1.87709,-0.0191137,24.1314,-0.168078,29.8182,-0.189749,26.458,-0.0867826,0.0167506,0.000121625,83.8616,0.312176,1.85325,0.00632877,0.003,0.06,0.000679199,0.01,0.06,0.022343,0.03,0.0045,-0.0772757,0.0015,0.0001,0.000151813,0.09,0.6,-0.000121625,6,0.06,-0.000112309,0.3,0.0009,0.00428616,0.003,0.1,-0.0156439,0.3,0.0009,-0.000474628,0.01,0.0214,0.00697286,0.01,0.1,0.00989642,0.12,0.00024,0.0318327,0.003,0.1,-0.224767,0.03,0.064,-0.0354928,0.1,0.021,0.0831226,0.009,0.0429,0.0135361,1,0.03,0.199416,1,0.01,0.0120672,0.06,0.2,0.0015357,1,0.05,0.0116673,0.3,0.006,0.160291,0.003,0.05,0.29739
41,97.5747,16.6368,59.6756,5.09225,9.74559,149.922,4.31922,580.064,-0.000645531,1.44757,-0.00733772,10.9054,-0.0501341,0.0156214,-0.00121143,3.15285,-0.0307822,99.7859,0.159275,0.064448,-0.000645531,0.251213,-0.00215753,10.183,0.252824,2.78845,0.0944831,0.106248,-0.00806648,1.9394,-0.119215,0.0607955,-6.72651e-05,2.13462,-0.0226773,1.53078,-0.0115331,6.08019,-0.00783596,1.85844,-0.018188,23.9639,-0.166338,29.6364,-0.174073,26.3738,-0.0815517,0.0168641,0.000105573,84.1665,0.297632,1.85938,0.00593939,0.003,0.06,0.000645531,0.01,0.06,0.0220337,0.03,0.0045,-0.0724494,0.0015,0.0001,0.000143634,0.09,0.6,-0.000105573,6,0.06,-3.83076e-05,0.3,0.0009,0.00879606,0.003,0.1,-0.0145418,0.3,0.0009,0.0012033,0.01,0.0214,0.00693215,0.01,0.1,0.00941674,0.12,0.00024,0.0320087,0.003,0.1,-0.210038,0.03,0.064,-0.0347616,0.1,0.021,0.0787988,0.009,0.0429,0.0135434,1,0.03,0.159275,1,0.01,0.0115743,0.06,0.2,0.00121143,1,0.05,0.00927791,0.3,0.006,0.128493,0.003,0.05,0.274857
42,97.5973,16.9369,59.3956,4.95774,9.7012,149.922,4.39957,580.064,-0.000614614,1.44048,-0.00685618,10.8581,-0.0445443,0.0145411,-0.000959804,3.12547,-0.0242415,99.9287,0.127611,0.0638182,-0.000614614,0.249078,-0.00210813,10.4254,0.232364,2.88042,0.0894832,0.0990226,-0.00644945,1.83227,-0.0959602,0.060705,-0.000111773,2.11191,-0.0226801,1.51916,-0.0117016,6.07014,-0.0120532,1.84069,-0.0173324,23.7996,-0.161809,29.4697,-0.159582,26.2948,-0.0764829,0.0169621,9.06408e-05,84.4566,0.282521,1.86513,0.00555749,0.003,0.06,0.000614614,0.01,0.06,0.0216228,0.03,0.0045,-0.0678605,0.0015,0.0001,0.000135538,0.09,0.6,-9.06408e-05,6,0.06,2.11323e-05,0.3,0.0009,0.0120103,0.003,0.1,-0.0134595,0.3,0.0009,0.00234079,0.01,0.0214,0.00687986,0.01,0.1,0.00897349,0.12,0.00024,0.032105,0.003,0.1,-0.195847,0.03,0.064,-0.0339246,0.1,0.021,0.0746633,0.009,0.0429,0.0135235,1,0.03,0.127611,1,0.01,0.0110816,0.06,0.2,0.000959804,1,0.05,0.00740925,0.3,0.006,0.103369,0.003,0.05,0.253987
43,97.619,17.2125,59.1344,4.84977,9.65325,149.922,4.47486,580.063,-0.000585948,1.43385,-0.0063983,10.816,-0.0398215,0.0136837,-0.000762872,3.1039,-0.0191117,100.043,0.1026,0.0632181,-0.000585948,0.247005,-0.00203554,10.6483,0.213558,2.96747,0.0846428,0.0932343,-0.0051779,1.74587,-0.0775473,0.0605759,-0.000144609,2.08939,-0.0222922,1.5074,-0.0118028,6.05647,-0.0151306,1.82376,-0.016535,23.6409,-0.15551,29.3169,-0.146256,26.2208,-0.0716305,0.017046,7.7252e-05,84.7315,0.267179,1.8705,0.00518869,0.003,0.06,0.000585948,0.01,0.06,0.0211279,0.03,0.0045,-0.063515,0.0015,0.0001,0.000127646,0.09,0.6,-7.7252e-05,6,0.06,6.73571e-05,0.3,0.0009,0.0141274,0.003,0.1,-0.0124189,0.3,0.0009,0.00304946,0.01,0.0214,0.00682382,0.01,0.1,0.00856047,0.12,0.00024,0.032116,0.003,0.1,-0.182318,0.03,0.064,-0.0330127,0.1,0.021,0.0707338,0.009,0.0429,0.0134895,1,0.03,0.1026,1,0.01,0.010596,0.06,0.2,0.000762872,1,0.05,0.00594077,0.3,0.006,0.083488,0.003,0.05,0.234686
44,97.6397,17.4658,58.8913,4.76279,9.60319,149.922,4.54534,580.063,-0.000559164,1.42767,-0.00596519,10.7782,-0.0357867,0.0130015,-0.000607883,3.08688,-0.0150864,100.136,0.0828124,0.0626456,-0.000559164,0.245011,-0.00194884,10.8531,0.196292,3.04976,0.0799776,0.0885778,-0.0041746,1.67591,-0.0629435,0.060419,-0.000167659,2.06741,-0.0216268,1.49558,-0.0118242,6.0402,-0.0172602,1.8076,-0.0157869,23.489,-0.148151,29.1768,-0.134042,26.1515,-0.0670245,0.0171172,6.553e-05,84.991,0.25188,1.87551,0.00483632,0.003,0.06,0.000559164,0.01,0.06,0.0205648,0.03,0.0045,-0.0594128,0.0015,0.0001,0.000120037,0.09,0.6,-6.553e-05,6,0.06,0.000102129,0.3,0.0009,0.0153446,0.003,0.1,-0.011433,0.3,0.0009,0.00342454,0.01,0.0214,0.00676926,0.01,0.1,0.00817305,0.12,0.00024,0.0320442,0.003,0.1,-0.169517,0.03,0.064,-0.0320504,0.1,0.021,0.0670184,0.009,0.0429,0.0134507,1,0.03,0.0828124,1,0.01,0.0101219,0.06,0.2,0.000607883,1,0.05,0.00478248,0.3,0.006,0.067726,0.003,0.05,0.216857
45,97.6595,17.6988,58.665,4.69243,9.55218,149.923,4.61126,580.062,-0.000533989,1.42192,-0.00555729,10.7442,-0.0323039,0.0124572,-0.000485466,3.07344,-0.0119258,100.21,0.0671299,0.0620992,-0.000533989,0.243109,-0.0018543,11.0413,0.180452,3.12748,0.0754973,0.0848155,-0.00338074,1.61899,-0.051338,0.0602432,-0.000182726,2.0462,-0.0207726,1.48378,-0.0117635,6.0222,-0.0186217,1.79217,-0.0150816,23.3447,-0.140228,29.0484,-0.122873,26.0866,-0.0626787,0.0171776,5.54357e-05,85.2353,0.236837,1.88018,0.00450219,0.003,0.06,0.000533989,0.01,0.06,0.0199477,0.03,0.0045,-0.0555496,0.0015,0.0001,0.000112761,0.09,0.6,-5.54357e-05,6,0.06,0.00012729,0.3,0.0009,0.0158435,0.003,0.1,-0.010508,0.3,0.0009,0.00354511,0.01,0.0214,0.00671946,0.01,0.1,0.00780778,0.12,0.00024,0.0318965,0.003,0.1,-0.157474,0.03,0.064,-0.0310566,0.1,0.021,0.0635186,0.009,0.0429,0.0134135,1,0.03,0.0671299,1,0.01,0.00966207,0.06,0.2,0.000485466,1,0.05,0.0038662,0.3,0.006,0.0552042,0.003,0.05,0.200399
46,97.6784,17.9132,58.4547,4.63525,9.50114,149.923,4.67289,580.062,-0.000510213,1.41655,-0.00517446,10.7135,-0.0292697,0.0120221,-0.000388536,3.0628,-0.00944236,100.271,0.0546758,0.0615772,-0.000510213,0.241304,-0.00175627,11.2144,0.165926,3.20082,0.0712069,0.0817618,-0.00275099,1.57245,-0.042094,0.0600557,-0.000191423,2.02591,-0.019798,1.47208,-0.0116243,6.00316,-0.0193737,1.77742,-0.0144138,23.2086,-0.132082,28.9307,-0.112671,26.026,-0.0585953,0.0172286,4.68431e-05,85.4648,0.222207,1.88452,0.0041871,0.003,0.06,0.000510213,0.01,0.06,0.0192888,0.03,0.0045,-0.0519181,0.0015,0.0001,0.000105844,0.09,0.6,-4.68431e-05,6,0.06,0.00014458,0.3,0.0009,0.0157827,0.003,0.1,-0.00964638,0.3,0.0009,0.00347536,0.01,0.0214,0.00667629,0.01,0.1,0.00746199,0.12,0.00024,0.0316826,0.003,0.1,-0.146193,0.03,0.064,-0.0300464,0.1,0.021,0.0602315,0.009,0.0429,0.013382,1,0.03,0.0546758,1,0.01,0.00921826,0.06,0.2,0.000388536,1,0.05,0.00313953,0.3,0.006,0.0452335,0.003,0.05,0.185215
47,97.6964,18.1107,58.2593,4.58856,9.45079,149.923,4.73051,580.061,-0.000487677,1.41156,-0.00481614,10.6856,-0.0266042,0.0116734,-0.000311643,3.05438,-0.00748967,100.32,0.044763,0.0610784,-0.000487677,0.239597,-0.00165774,11.3736,0.15261,3.26996,0.0671084,0.0792707,-0.0022501,1.53418,-0.0347116,0.059862,-0.000195137,2.00663,-0.0187547,1.46055,-0.0114142,5.98361,-0.0196515,1.76333,-0.0137796,23.0806,-0.12395,28.8228,-0.10336,25.9694,-0.0547693,0.0172717,3.95888e-05,85.6799,0.208106,1.88856,0.00389114,0.003,0.06,0.000487677,0.01,0.06,0.0185992,0.03,0.0045,-0.0485092,0.0015,0.0001,9.92993e-05,0.09,0.6,-3.95888e-05,6,0.06,0.000155548,0.3,0.0009,0.0152964,0.003,0.1,-0.00884758,0.3,0.0009,0.00326657,0.01,0.0214,0.00664059,0.01,0.1,0.00713365,0.12,0.00024,0.0314131,0.003,0.1,-0.135659,0.03,0.064,-0.0290316,0.1,0.021,0.0571507,0.009,0.0429,0.0133583,1,0.03,0.044763,1,0.01,0.00879139,0.06,0.2,0.000311643,1,0.05,0.00256175,0.3,0.006,0.0372733,0.003,0.05,0.17121
48,97.7136,18.2928,58.0778,4.55022,9.40165,149.923,4.78437,580.061,-0.000466258,1.40691,-0.00448146,10.6602,-0.0242458,0.0113935,-0.000250559,3.04769,-0.00595306,100.361,0.0368525,0.0606015,-0.000466258,0.237988,-0.00156072,11.52,0.140406,3.3351,0.0632012,0.0772279,-0.00185063,1.50253,-0.0287982,0.0596667,-0.000195031,1.98841,-0.0176813,1.44927,-0.0111425,5.96398,-0.0195678,1.74986,-0.013176,22.9606,-0.115989,28.7237,-0.0948645,25.9164,-0.0511912,0.0173081,3.34996e-05,85.8812,0.194609,1.89231,0.00361399,0.003,0.06,0.000466258,0.01,0.06,0.0178882,0.03,0.0045,-0.045313,0.0015,0.0001,9.31275e-05,0.09,0.6,-3.34996e-05,6,0.06,0.000161531,0.3,0.0009,0.0144954,0.003,0.1,-0.0081096,0.3,0.0009,0.00295915,0.01,0.0214,0.00661255,0.01,0.1,0.00682114,0.12,0.00024,0.0310986,0.003,0.1,-0.125845,0.03,0.064,-0.0280216,0.1,0.021,0.0542681,0.009,0.0429,0.0133435,1,0.03,0.0368525,1,0.01,0.00838186,0.06,0.2,0.000250559,1,0.05,0.00210119,0.3,0.006,0.0308994,0.003,0.05,0.158294
49,97.7299,18.4607,57.9093,4.51856,9.35411,149.923,4.83471,580.06,-0.000445855,1.40259,-0.00416938,10.637,-0.0221462,0.0111682,-0.000201976,3.04236,-0.00474279,100.395,0.0305215,0.0601455,-0.000445855,0.236475,-0.00146654,11.6547,0.129219,3.39643,0.0594829,0.0755429,-0.00153107,1.4762,-0.0240457,0.0594729,-0.000192059,1.97127,-0.0166059,1.43828,-0.0108197,5.94457,-0.0192144,1.73697,-0.0126005,22.8485,-0.108303,28.6328,-0.0871118,25.8669,-0.0478489,0.017339,2.84084e-05,86.0694,0.181764,1.8958,0.00335503,0.003,0.06,0.000445855,0.01,0.06,0.0171641,0.03,0.0045,-0.0423188,0.0015,0.0001,8.73229e-05,0.09,0.6,-2.84084e-05,6,0.06,0.000163651,0.3,0.0009,0.0134698,0.003,0.1,-0.00742938,0.3,0.0009,0.0025846,0.01,0.0214,0.0065919,0.01,0.1,0.00652316,0.12,0.00024,0.0307492,0.003,0.1,-0.11672,0.03,0.064,-0.0270237,0.1,0.021,0.0515744,0.009,0.0429,0.0133376,1,0.03,0.0305215,1,0.01,0.00798971,0.06,0.2,0.000201976,1,0.05,0.00173305,0.3,0.006,0.0257787,0.003,0.05,0.146383
50,97.7455,18.6157,57.7528,4.49225,9.30844,149.923,4.88177,580.06,-0.000426392,1.39857,-0.00387872,10.6158,-0.0202669,0.0109863,-0.000163292,3.03812,-0.0037886,100.423,0.0254381,0.0597095,-0.000426392,0.235054,-0.00137607,11.7787,0.118964,3.45413,0.0559498,0.0741448,-0.00127461,1.45414,-0.0202116,0.0592833,-0.000186993,1.95519,-0.0155486,1.42764,-0.0104558,5.92561,-0.0186655,1.72465,-0.0120509,22.7439,-0.100956,28.5493,-0.0800355,25.8206,-0.0447288,0.0173652,2.41616e-05,86.245,0.169597,1.89903,0.00311348,0.003,0.06,0.000426392,0.01,0.06,0.0164339,0.03,0.0045,-0.0395159,0.0015,0.0001,8.18746e-05,0.09,0.6,-2.41616e-05,6,0.06,0.000162831,0.3,0.0009,0.0122914,0.003,0.1,-0.00680338,0.3,0.0009,0.00216717,0.01,0.0214,0.00657807,0.01,0.1,0.00623867,0.12,0.00024,0.0303742,0.003,0.1,-0.108246,0.03,0.064,-0.0260436,0.1,0.021,0.0490594,0.009,0.0429,0.0133403,1,0.03,0.0254381,1,0.01,0.00761473,0.06,0.2,0.000163292,1,0.05,0.0014379,0.3,0.006,0.0216495,0.003,0.05,0.135398
51,97.7604,18.7589,57.6075,4.47025,9.26482,149.924,4.92577,580.059,-0.0004078,1.39482,-0.00360823,10.5964,-0.0185773,0.010839,-0.000132452,3.03472,-0.00303546,100.446,0.0213414,0.0592924,-0.0004078,0.233721,-0.00128979,11.8929,0.109563,3.50839,0.0525973,0.0729771,-0.00106804,1.43553,-0.0171054,0.0590994,-0.000180446,1.94016,-0.0145235,1.41738,-0.0100607,5.90728,-0.0179797,1.71286,-0.0115257,22.6465,-0.0939861,28.4725,-0.0735738,25.7774,-0.0418169,0.0173876,2.06235e-05,86.4088,0.158114,1.90203,0.00288849,0.003,0.06,0.0004078,0.01,0.06,0.0157037,0.03,0.0045,-0.0368936,0.0015,0.0001,7.67688e-05,0.09,0.6,-2.06235e-05,6,0.06,0.000159822,0.3,0.0009,0.0110165,0.003,0.1,-0.00622785,0.3,0.0009,0.00172534,0.01,0.0214,0.00657036,0.01,0.1,0.00596676,0.12,0.00024,0.0299819,0.003,0.1,-0.100385,0.03,0.064,-0.0250858,0.1,0.021,0.046713,0.009,0.0429,0.0133508,1,0.03,0.0213414,1,0.01,0.00725656,0.06,0.2,0.000132452,1,0.05,0.0012005,0.3,0.006,0.0183059,0.003,0.05,0.125267
52,97.7746,18.8912,57.4726,4.45173,9.22334,149.924,4.96691,580.059,-0.000390027,1.39134,-0.00335668,10.5786,-0.0170523,0.0107193,-0.000107835,3.03199,-0.00244022,100.466,0.0180264,0.0588936,-0.000390027,0.232473,-0.00120798,11.9981,0.100942,3.55938,0.0494201,0.0719955,-0.000900994,1.41973,-0.0145773,0.0589227,-0.000172901,1.92613,-0.01354,1.40753,-0.00964319,5.88968,-0.0172031,1.70159,-0.0110234,22.5558,-0.0874098,28.402,-0.0676704,25.7369,-0.0390993,0.0174067,1.7676e-05,86.5614,0.147311,1.90481,0.00267914,0.003,0.06,0.000390027,0.01,0.06,0.0149787,0.03,0.0045,-0.0344414,0.0015,0.0001,7.19899e-05,0.09,0.6,-1.7676e-05,6,0.06,0.000155225,0.3,0.0009,0.00968917,0.003,0.1,-0.005699,0.3,0.0009,0.00127299,0.01,0.0214,0.006568,0.01,0.1,0.00570671,0.12,0.00024,0.0295793,0.003,0.1,-0.0930972,0.03,0.064,-0.0241538,0.1,0.021,0.0445248,0.009,0.0429,0.0133681,1,0.03,0.0180264,1,0.01,0.0069147,0.06,0.2,0.000107835,1,0.05,0.00100883,0.3,0.006,0.0155862,0.003,0.05,0.115921
53,97.7881,19.0135,57.3473,4.43602,9.18405,149.924,5.00538,580.059,-0.000373025,1.3881,-0.00312283,10.5623,-0.0156715,0.0106217,-8.81563e-05,3.0298,-0.0019691,100.482,0.0153319,0.0585121,-0.000373025,0.231304,-0.00113073,12.0951,0.0930338,3.60728,0.0464121,0.0711647,-0.000765307,1.40622,-0.0125093,0.0587538,-0.000164735,1.91306,-0.0126038,1.3981,-0.00921115,5.87289,-0.0163713,1.69081,-0.0105427,22.4715,-0.0812317,28.337,-0.062274,25.6991,-0.0365627,0.0174231,1.52185e-05,86.7036,0.137172,1.90739,0.00248452,0.003,0.06,0.000373025,0.01,0.06,0.014263,0.03,0.0045,-0.0321491,0.0015,0.0001,6.75211e-05,0.09,0.6,-1.52185e-05,6,0.06,0.000149517,0.3,0.0009,0.00834281,0.003,0.1,-0.00521316,0.3,0.0009,0.000820403,0.01,0.0214,0.00657021,0.01,0.1,0.00545787,0.12,0.00024,0.0291725,0.003,0.1,-0.0863446,0.03,0.064,-0.0232502,0.1,0.021,0.042485,0.009,0.0429,0.0133912,1,0.03,0.0153319,1,0.01,0.0065886,0.06,0.2,8.81563e-05,1,0.05,0.000853463,0.3,0.006,0.0133628,0.003,0.05,0.107297
54,97.8009,19.1267,57.231,4.42262,9.14696,149.924,5.04137,580.058,-0.000356752,1.38509,-0.00290548,10.5472,-0.0144177,0.0105417,-7.23982e-05,3.02802,-0.00159557,100.496,0.013131,0.0581473,-0.000356752,0.23021,-0.00105801,12.1844,0.0857775,3.65226,0.0435674,0.0704566,-0.000654564,1.39459,-0.0108084,0.0585933,-0.000156236,1.9009,-0.0117182,1.38911,-0.0087714,5.85695,-0.0155117,1.68049,-0.0100826,22.3932,-0.0754467,28.2773,-0.0573378,25.6638,-0.0341943,0.0174373,1.31663e-05,86.836,0.127676,1.90978,0.00230372,0.003,0.06,0.000356752,0.01,0.06,0.0135603,0.03,0.0045,-0.0300071,0.0015,0.0001,6.33456e-05,0.09,0.6,-1.31663e-05,6,0.06,0.00014307,0.3,0.0009,0.00700267,0.003,0.1,-0.00476684,0.3,0.0009,0.000375067,0.01,0.0214,0.00657625,0.01,0.1,0.00521965,0.12,0.00024,0.0287666,0.003,0.1,-0.0800899,0.03,0.064,-0.022377,0.1,0.021,0.0405839,0.009,0.0429,0.0134189,1,0.03,0.013131,1,0.01,0.00627767,0.06,0.2,7.23982e-05,1,0.05,0.000726962,0.3,0.006,0.0115354,0.003,0.05,0.0993378
55,97.8132,19.2314,57.1231,4.41109,9.11204,149.924,5.07503,580.058,-0.000341173,1.38229,-0.00270349,10.5334,-0.0132766,0.0104758,-5.97551e-05,3.02658,-0.00129887,100.509,0.0113236,0.0577984,-0.000341173,0.229186,-0.000989734,12.2668,0.0791169,3.69447,0.0408795,0.069849,-0.000563709,1.38451,-0.0094013,0.0584414,-0.000147622,1.88961,-0.0108845,1.38056,-0.00832977,5.84187,-0.0146448,1.67063,-0.00964195,22.3205,-0.0700434,28.2222,-0.0528199,25.6307,-0.0319821,0.0174495,1.14485e-05,86.9592,0.118797,1.912,0.00213586,0.003,0.06,0.000341173,0.01,0.06,0.0128735,0.03,0.0045,-0.028006,0.0015,0.0001,5.94465e-05,0.09,0.6,-1.14485e-05,6,0.06,0.000136173,0.3,0.0009,0.00568734,0.003,0.1,-0.00435676,0.3,0.0009,-5.77191e-05,0.01,0.0214,0.00658541,0.01,0.1,0.00499156,0.12,0.00024,0.0283656,0.003,0.1,-0.0742976,0.03,0.064,-0.0215353,0.1,0.021,0.0388123,0.009,0.0429,0.0134504,1,0.03,0.0113236,1,0.01,0.0059813,0.06,0.2,5.97551e-05,1,0.05,0.000623464,0.3,0.006,0.0100248,0.003,0.05,0.0919904
56,97.8249,19.3285,57.0228,4.40112,9.07922,149.924,5.10652,580.057,-0.000326256,1.37968,-0.00251579,10.5206,-0.0122359,0.0104214,-4.95868e-05,3.0254,-0.00106265,100.519,0.00983088,0.0574647,-0.000326256,0.228229,-0.000925735,12.3428,0.0730008,3.73407,0.0383419,0.069324,-0.000488745,1.37571,-0.0082299,0.0582981,-0.000139055,1.87912,-0.0101026,1.37245,-0.00789106,5.82766,-0.0137859,1.6612,-0.00922,22.253,-0.0650065,28.1715,-0.0486821,25.5997,-0.0299151,0.0174602,1.00063e-05,87.0738,0.110506,1.91406,0.00198009,0.003,0.06,0.000326256,0.01,0.06,0.0122049,0.03,0.0045,-0.026137,0.0015,0.0001,5.58071e-05,0.09,0.6,-1.00063e-05,6,0.06,0.000129049,0.3,0.0009,0.00441019,0.003,0.1,-0.00397989,0.3,0.0009,-0.00047431,0.01,0.0214,0.00659706,0.01,0.1,0.00477313,0.12,0.00024,0.0279728,0.003,0.1,-0.0689341,0.03,0.064,-0.0207263,0.1,0.021,0.0371617,0.009,0.0429,0.0134847,1,0.03,0.00983088,1,0.01,0.00569886,0.06,0.2,4.95868e-05,1,0.05,0.000538332,0.3,0.006,0.00876823,0.003,0.05,0.0852057
57,97.836,19.4183,56.9297,4.39243,9.04845,149.924,5.13597,580.057,-0.000311969,1.37725,-0.00234135,10.5089,-0.0112851,0.010376,-4.13875e-05,3.02444,-0.000874102,100.528,0.00859034,0.0571457,-0.000311969,0.227333,-0.000865831,12.413,0.0673824,3.7712,0.0359481,0.0688673,-0.000426516,1.36799,-0.00724834,0.0581632,-0.000130657,1.86939,-0.0093717,1.36477,-0.00745922,5.81429,-0.0129462,1.65219,-0.00881587,22.1904,-0.0603181,28.1247,-0.04489,25.5708,-0.0279831,0.0174696,8.79127e-06,87.1804,0.102772,1.91597,0.0018356,0.003,0.06,0.000311969,0.01,0.06,0.0115564,0.03,0.0045,-0.0243917,0.0015,0.0001,5.24116e-05,0.09,0.6,-8.79127e-06,6,0.06,0.000121865,0.3,0.0009,0.00318053,0.003,0.1,-0.0036334,0.3,0.0009,-0.000872338,0.01,0.0214,0.00661064,0.01,0.1,0.00456392,0.12,0.00024,0.0275908,0.003,0.1,-0.0639679,0.03,0.064,-0.0199502,0.1,0.021,0.0356237,0.009,0.0429,0.0135209,1,0.03,0.00859034,1,0.01,0.00542975,0.06,0.2,4.13875e-05,1,0.05,0.000467904,0.3,0.006,0.00771624,0.003,0.05,0.0789388
58,97.8466,19.5016,56.8432,4.38481,9.01964,149.924,5.16354,580.057,-0.000298286,1.37499,-0.00217922,10.498,-0.0104151,0.0103381,-3.47566e-05,3.02364,-0.00072318,100.536,0.00755283,0.0568406,-0.000298286,0.226496,-0.000809817,12.4777,0.0622192,3.80601,0.0336916,0.0684676,-0.000374533,1.36117,-0.00642036,0.0580367,-0.00012251,1.86036,-0.00868997,1.35753,-0.00703739,5.80176,-0.0121335,1.64357,-0.00842881,22.1322,-0.0559592,28.0816,-0.0414125,25.5437,-0.0261766,0.0174779,7.76339e-06,87.2795,0.0955647,1.91773,0.00170162,0.003,0.06,0.000298286,0.01,0.06,0.0109293,0.03,0.0045,-0.0227623,0.0015,0.0001,4.92444e-05,0.09,0.6,-7.76339e-06,6,0.06,0.000114747,0.3,0.0009,0.00200444,0.003,0.1,-0.00331471,0.3,0.0009,-0.00125041,0.01,0.0214,0.00662567,0.01,0.1,0.00436355,0.12,0.00024,0.0272215,0.003,0.1,-0.0593695,0.03,0.064,-0.0192074,0.1,0.021,0.0341908,0.009,0.0429,0.0135585,1,0.03,0.00755283,1,0.01,0.00517336,0.06,0.2,3.47566e-05,1,0.05,0.00040929,0.3,0.006,0.00682965,0.003,0.05,0.0731485
59,97.8567,19.5789,56.7629,4.37809,8.9927,149.925,5.18932,580.057,-0.00028518,1.37289,-0.00202851,10.488,-0.00961798,0.0103061,-2.93745e-05,3.02298,-0.000601996,100.543,0.00667936,0.0565489,-0.00028518,0.225712,-0.000757478,12.5375,0.0574723,3.83863,0.031566,0.0681155,-0.000330827,1.35511,-0.00571716,0.0579181,-0.000114673,1.85199,-0.00805535,1.35069,-0.00662801,5.79001,-0.011353,1.63532,-0.00805808,22.0783,-0.0519101,28.0418,-0.0382215,25.5184,-0.0244868,0.0174852,6.88993e-06,87.3717,0.0888525,1.91937,0.00157742,0.003,0.06,0.00028518,0.01,0.06,0.0103247,0.03,0.0045,-0.0212412,0.0015,0.0001,4.62911e-05,0.09,0.6,-6.88993e-06,6,0.06,0.000107784,0.3,0.0009,0.000885571,0.003,0.1,-0.00302147,0.3,0.0009,-0.00160785,0.01,0.0214,0.00664172,0.01,0.1,0.00417163,0.12,0.00024,0.0268664,0.003,0.1,-0.0551113,0.03,0.064,-0.0184976,0.1,0.021,0.0328557,0.009,0.0429,0.0135967,1,0.03,0.00667936,1,0.01,0.00492911,0.06,0.2,2.93745e-05,1,0.05,0.000360201,0.3,0.006,0.00607737,0.003,0.05,0.067797
