environment | time (second),combined_concs | totEGFRphos (nanomolar),combined_concs | totGrb_EGFR (nanomolar),combined_concs | totGrb_Shc (nanomolar),combined_concs | totPLCgammaphos (nanomolar),combined_concs | totShc_EGFR (nanomolar),combined_concs | totShcphos (nanomolar),combined_concs | totSOS_EGFR (nanomolar),EGF | EGF (nanomolar),EGF | EGF' (nanomolar/second),G_S | G_S (nanomolar),G_S | G_S' (nanomolar/second),Grb | Grb (nanomolar),Grb | Grb' (nanomolar/second),PLC_gamma | PLC_gamma (nanomolar),PLC_gamma | PLC_gamma' (nanomolar/second),PLC_gamma_P | PLC_gamma_P (nanomolar),PLC_gamma_P | PLC_gamma_P' (nanomolar/second),PLC_gamma_P_I | PLC_gamma_P_I (nanomolar),PLC_gamma_P_I | PLC_gamma_P_I' (nanomolar/second),R | R (nanomolar),R | R' (nanomolar/second),R2 | R2 (nanomolar),R2 | R2' (nanomolar/second),R_G | R_G (nanomolar),R_G | R_G' (nanomolar/second),R_G_S | R_G_S (nanomolar),R_G_S | R_G_S' (nanomolar/second),R_PL | R_PL (nanomolar),R_PL | R_PL' (nanomolar/second),R_PLP | R_PLP (nanomolar),R_PLP | R_PLP' (nanomolar/second),R_Sh | R_Sh (nanomolar),R_Sh | R_Sh' (nanomolar/second),R_Sh_G | R_Sh_G (nanomolar),R_Sh_G | R_Sh_G' (nanomolar/second),R_Sh_G_S | R_Sh_G_S (nanomolar),R_Sh_G_S | R_Sh_G_S' (nanomolar/second),R_ShP | R_ShP (nanomolar),R_ShP | R_ShP' (nanomolar/second),Ra | Ra (nanomolar),Ra | Ra' (nanomolar/second),RP | RP (nanomolar),RP | RP' (nanomolar/second),Sh_G | Sh_G (nanomolar),Sh_G | Sh_G' (nanomolar/second),Sh_G_S | Sh_G_S (nanomolar),Sh_G_S | Sh_G_S' (nanomolar/second),Shc | Shc (nanomolar),Shc | Shc' (nanomolar/second),ShP | ShP (nanomolar),ShP | ShP' (nanomolar/second),SOS | SOS (nanomolar),SOS | SOS' (nanomolar/second),v1 | k1 (second_order_rate_constant),v1 | k1_ (first_order_rate_constant),v1 | v1 (flux),v10 | k10 (second_order_rate_constant),v10 | k10_ (first_order_rate_constant),v10 | v10 (flux),v11 | k11 (first_order_rate_constant),v11 | k11_ (second_order_rate_constant),v11 | v11 (flux),v12 | k12 (first_order_rate_constant),v12 | k12_ (second_order_rate_constant),v12 | v12 (flux),v13 | k13 (second_order_rate_constant),v13 | k13_ (first_order_rate_constant),v13 | v13 (flux),v14 | k14 (first_order_rate_constant),v14 | k14_ (first_order_rate_constant),v14 | v14 (flux),v15 | k15 (first_order_rate_constant),v15 | k15_ (second_order_rate_constant),v15 | v15 (flux),v17 | k17 (second_order_rate_constant),v17 | k17_ (first_order_rate_constant),v17 | v17 (flux),v18 | k18 (first_order_rate_constant),v18 | k18_ (second_order_rate_constant),v18 | v18 (flux),v19 | k19 (second_order_rate_constant),v19 | k19_ (first_order_rate_constant),v19 | v19 (flux),v2 | k2 (second_order_rate_constant),v2 | k2_ (first_order_rate_constant),v2 | v2 (flux),v20 | k20 (first_order_rate_constant),v20 | k20_ (second_order_rate_constant),v20 | v20 (flux),v21 | k21 (second_order_rate_constant),v21 | k21_ (first_order_rate_constant),v21 | v21 (flux),v22 | k22 (second_order_rate_constant),v22 | k22_ (first_order_rate_constant),v22 | v22 (flux),v23 | k23 (first_order_rate_constant),v23 | k23_ (second_order_rate_constant),v23 | v23 (flux),v24 | k24 (second_order_rate_constant),v24 | k24_ (first_order_rate_constant),v24 | v24 (flux),v25 | k25 (first_order_rate_constant),v25 | k25_ (first_order_rate_constant),v25 | v25 (flux),v3 | k3 (first_order_rate_constant),v3 | k3_ (first_order_rate_constant),v3 | v3 (flux),v5 | k5 (second_order_rate_constant),v5 | k5_ (first_order_rate_constant),v5 | v5 (flux),v6 | k6 (first_order_rate_constant),v6 | k6_ (first_order_rate_constant),v6 | v6 (flux),v7 | k7 (first_order_rate_constant),v7 | k7_ (second_order_rate_constant),v7 | v7 (flux),v9 | k9 (second_order_rate_constant),v9 | k9_ (first_order_rate_constant),v9 | v9 (flux)
60,97.8663,19.6505,56.6883,4.37213,8.96754,149.925,5.21345,580.056,-0.000272628,1.37093,-0.00188841,10.4788,-0.0088868,0.010279,-2.49881e-05,3.02243,-0.00050434,100.55,0.005939,0.05627,-0.000272628,0.22498,-0.000708598,12.5928,0.0531062,3.86918,0.0295649,0.0678037,-0.000293832,1.3497,-0.00511584,0.0578072,-0.000107185,1.84423,-0.00746544,1.34427,-0.00623293,5.77904,-0.0106082,1.62745,-0.00770302,22.0283,-0.0481512,28.0051,-0.0352916,25.4947,-0.0229059,0.0174917,6.14408e-06,87.4574,0.0826051,1.92089,0.00146232,0.003,0.06,0.000272628,0.01,0.06,0.00974333,0.03,0.0045,-0.0198216,0.0015,0.0001,4.35377e-05,0.09,0.6,-6.14408e-06,6,0.06,0.000101041,0.3,0.0009,-0.000174274,0.003,0.1,-0.00275151,0.3,0.0009,-0.00194451,0.01,0.0214,0.00665845,0.01,0.1,0.00398782,0.12,0.00024,0.0265264,0.003,0.1,-0.0511677,0.03,0.064,-0.0178206,0.1,0.021,0.0316117,0.009,0.0429,0.013635,1,0.03,0.005939,1,0.01,0.00469642,0.06,0.2,2.49881e-05,1,0.05,0.00031882,0.3,0.006,0.00543466,0.003,0.05,0.0628495
61,97.8755,19.7169,56.619,4.36682,8.94405,149.925,5.23602,580.056,-0.000260606,1.36911,-0.00175813,10.4702,-0.0082154,0.0102559,-2.13984e-05,3.02197,-0.00042533,100.555,0.00530713,0.0560035,-0.000260606,0.224294,-0.000662966,12.6439,0.0490887,3.8978,0.0276823,0.0675261,-0.000262301,1.34485,-0.0045981,0.0577036,-0.000100066,1.83704,-0.00691775,1.33822,-0.00585345,5.76879,-0.00990101,1.61991,-0.00736298,21.9819,-0.0446635,27.9711,-0.0325999,25.4726,-0.0214263,0.0174975,5.50394e-06,87.537,0.076793,1.9223,0.00135566,0.003,0.06,0.000260606,0.01,0.06,0.00918555,0.03,0.0045,-0.0184967,0.0015,0.0001,4.09711e-05,0.09,0.6,-5.50394e-06,6,0.06,9.45621e-05,0.3,0.0009,-0.00117468,0.003,0.1,-0.00250286,0.3,0.0009,-0.00226064,0.01,0.0214,0.00667553,0.01,0.1,0.00381179,0.12,0.00024,0.0262021,0.003,0.1,-0.047515,0.03,0.064,-0.0171758,0.1,0.021,0.0304527,0.009,0.0429,0.0136731,1,0.03,0.00530713,1,0.01,0.00447476,0.06,0.2,2.13984e-05,1,0.05,0.0002837,0.3,0.006,0.0048818,0.003,0.05,0.0582742
62,97.8842,19.7786,56.5546,4.36206,8.92216,149.925,5.25714,580.056,-0.000249094,1.36741,-0.00163698,10.4623,-0.00759832,0.010236,-1.84468e-05,3.02158,-0.000361128,100.56,0.00476415,0.0557487,-0.000249094,0.223653,-0.000620373,12.6911,0.0453904,3.92458,0.025912,0.0672776,-0.000235243,1.34048,-0.00414933,0.057607,-9.33276e-05,1.83038,-0.00640972,1.33255,-0.00549046,5.75922,-0.00923221,1.61271,-0.00703734,21.9389,-0.0414285,27.9398,-0.0301255,25.4518,-0.0200414,0.0175027,4.95162e-06,87.6111,0.0713877,1.92361,0.00125685,0.003,0.06,0.000249094,0.01,0.06,0.00865156,0.03,0.0045,-0.0172605,0.0015,0.0001,3.8579e-05,0.09,0.6,-4.95162e-06,6,0.06,8.8376e-05,0.3,0.0009,-0.00211627,0.003,0.1,-0.00227374,0.3,0.0009,-0.00255676,0.01,0.0214,0.00669275,0.01,0.1,0.00364322,0.12,0.00024,0.0258938,0.003,0.1,-0.0441313,0.03,0.064,-0.0165626,0.1,0.021,0.0293727,0.009,0.0429,0.0137106,1,0.03,0.00476415,1,0.01,0.00426359,0.06,0.2,1.84468e-05,1,0.05,0.00025369,0.3,0.006,0.00440302,0.003,0.05,0.054042
63,97.8926,19.8359,56.4947,4.35777,8.90176,149.925,5.27689,580.056,-0.000238069,1.36583,-0.0015243,10.455,-0.00703067,0.0102188,-1.60064e-05,3.02124,-0.000308709,100.565,0.00429441,0.0555051,-0.000238069,0.223052,-0.000580621,12.7348,0.0419845,3.94966,0.0242484,0.0670544,-0.000211869,1.33653,-0.00375782,0.0575168,-8.69711e-05,1.82421,-0.00593881,1.32724,-0.00514448,5.75031,-0.00860178,1.60583,-0.00672553,21.899,-0.0384287,27.9108,-0.0278497,25.4325,-0.0187449,0.0175075,4.47251e-06,87.6799,0.0663622,1.92482,0.00116532,0.003,0.06,0.000238069,0.01,0.06,0.00814135,0.03,0.0045,-0.016107,0.0015,0.0001,3.63497e-05,0.09,0.6,-4.47251e-06,6,0.06,8.24986e-05,0.3,0.0009,-0.0030004,0.003,0.1,-0.0020625,0.3,0.0009,-0.00283357,0.01,0.0214,0.00670988,0.01,0.1,0.0034818,0.12,0.00024,0.0256015,0.003,0.1,-0.0409963,0.03,0.064,-0.0159802,0.1,0.021,0.0283663,0.009,0.0429,0.0137472,1,0.03,0.00429441,1,0.01,0.00406242,0.06,0.2,1.60064e-05,1,0.05,0.000227875,0.3,0.006,0.0039857,0.003,0.05,0.0501258
64,97.9005,19.889,56.4391,4.3539,8.88276,149.925,5.29537,580.055,-0.000227513,1.36436,-0.00141947,10.4483,-0.00650812,0.0102038,-1.39774e-05,3.02096,-0.000265687,100.569,0.00388536,0.0552724,-0.000227513,0.222491,-0.000543522,12.7752,0.0388465,3.97312,0.0226857,0.0668529,-0.000191542,1.33295,-0.00341416,0.0574329,-8.09917e-05,1.81849,-0.00550252,1.32226,-0.00481575,5.74201,-0.00800912,1.59926,-0.00642698,21.862,-0.0356474,27.884,-0.0257553,25.4143,-0.017531,0.0175117,4.05462e-06,87.7439,0.0616907,1.92594,0.00108054,0.003,0.06,0.000227513,0.01,0.06,0.00765472,0.03,0.0045,-0.015031,0.0015,0.0001,3.42724e-05,0.09,0.6,-4.05462e-06,6,0.06,7.6937e-05,0.3,0.0009,-0.00382896,0.003,0.1,-0.00186767,0.3,0.0009,-0.00309192,0.01,0.0214,0.00672678,0.01,0.1,0.00332725,0.12,0.00024,0.0253252,0.003,0.1,-0.0380912,0.03,0.064,-0.0154278,0.1,0.021,0.0274285,0.009,0.0429,0.0137827,1,0.03,0.00388536,1,0.01,0.00387077,0.06,0.2,1.39774e-05,1,0.05,0.00020552,0.3,0.006,0.00361968,0.003,0.05,0.0465012
65,97.908,19.9384,56.3874,4.3504,8.86508,149.925,5.31266,580.055,-0.000217406,1.36299,-0.00132193,10.442,-0.00602674,0.0101907,-1.22807e-05,3.02071,-0.000230182,100.573,0.00352693,0.0550499,-0.000217406,0.221965,-0.000508898,12.8125,0.0359542,3.99506,0.0212186,0.0666705,-0.000173753,1.32969,-0.00311071,0.0573547,-7.53799e-05,1.8132,-0.00509848,1.3176,-0.00450424,5.73428,-0.00745318,1.59298,-0.00614115,21.8276,-0.0330689,27.8593,-0.023827,25.3974,-0.0163944,0.0175156,3.68818e-06,87.8034,0.057349,1.92698,0.00100201,0.003,0.06,0.000217406,0.01,0.06,0.00719133,0.03,0.0045,-0.0140272,0.0015,0.0001,3.23369e-05,0.09,0.6,-3.68818e-06,6,0.06,7.16917e-05,0.3,0.0009,-0.00460418,0.003,0.1,-0.00168787,0.3,0.0009,-0.0033327,0.01,0.0214,0.00674331,0.01,0.1,0.00317928,0.12,0.00024,0.0250645,0.003,0.1,-0.0353986,0.03,0.064,-0.0149043,0.1,0.021,0.0265546,0.009,0.0429,0.0138169,1,0.03,0.00352693,1,0.01,0.00368818,0.06,0.2,1.22807e-05,1,0.05,0.000186034,0.3,0.006,0.00329675,0.003,0.05,0.0431456
66,97.9152,19.9842,56.3394,4.34721,8.84862,149.925,5.32883,580.055,-0.00020773,1.36172,-0.00123118,10.4362,-0.005583,0.0101792,-1.0853e-05,3.02049,-0.000200712,100.576,0.00321099,0.0548374,-0.00020773,0.221472,-0.000476579,12.8471,0.0332873,4.01558,0.0198417,0.0665047,-0.000158093,1.32672,-0.00284134,0.057282,-7.01229e-05,1.80829,-0.00472439,1.31324,-0.00420975,5.72709,-0.00693262,1.58697,-0.00586753,21.7958,-0.0306785,27.8363,-0.0220506,25.3815,-0.0153301,0.0175191,3.36514e-06,87.8587,0.0533143,1.92795,0.000929279,0.003,0.06,0.00020773,0.01,0.06,0.00675075,0.03,0.0045,-0.013091,0.0015,0.0001,3.05336e-05,0.09,0.6,-3.36514e-06,6,0.06,6.67578e-05,0.3,0.0009,-0.00532854,0.003,0.1,-0.00152189,0.3,0.0009,-0.00355688,0.01,0.0214,0.00675937,0.01,0.1,0.00303763,0.12,0.00024,0.0248189,0.003,0.1,-0.0329026,0.03,0.064,-0.0144089,0.1,0.021,0.0257402,0.009,0.0429,0.0138498,1,0.03,0.00321099,1,0.01,0.00351421,0.06,0.2,1.0853e-05,1,0.05,0.000168946,0.3,0.006,0.00301028,0.003,0.05,0.040038
67,97.9221,20.0269,56.2947,4.3443,8.83332,149.925,5.34395,580.055,-0.000198467,1.36053,-0.00114671,10.4308,-0.00517372,0.010169,-9.64315e-06,3.02031,-0.0001761,100.579,0.00293097,0.0546343,-0.000198467,0.221011,-0.000446408,12.8792,0.0308272,4.03477,0.0185502,0.0663537,-0.000144229,1.324,-0.002601,0.0572144,-6.5206e-05,1.80374,-0.00437809,1.30917,-0.00393192,5.7204,-0.00644592,1.58124,-0.00560562,21.7662,-0.0284626,27.8151,-0.0204135,25.3667,-0.0143335,0.0175223,3.07889e-06,87.9101,0.049565,1.92884,0.000861917,0.003,0.06,0.000198467,0.01,0.06,0.00633242,0.03,0.0045,-0.0122178,0.0015,0.0001,2.88536e-05,0.09,0.6,-3.07889e-06,6,0.06,6.21271e-05,0.3,0.0009,-0.00600463,0.003,0.1,-0.00136858,0.3,0.0009,-0.0037654,0.01,0.0214,0.0067749,0.01,0.1,0.00290204,0.12,0.00024,0.0245881,0.003,0.1,-0.0305885,0.03,0.064,-0.0139404,0.1,0.021,0.0249812,0.009,0.0429,0.0138813,1,0.03,0.00293097,1,0.01,0.00334845,0.06,0.2,9.64315e-06,1,0.05,0.000153873,0.3,0.006,0.00275487,0.003,0.05,0.0371596
68,97.9286,20.0665,56.2532,4.34165,8.81908,149.925,5.35809,580.054,-0.000189602,1.35942,-0.0010681,10.4258,-0.00479602,0.0101598,-8.61091e-06,3.02014,-0.00015541,100.582,0.00268146,0.0544403,-0.000189602,0.220579,-0.000418238,12.9089,0.028557,4.05271,0.0173392,0.0662158,-0.000131892,1.32151,-0.00238555,0.0571515,-6.06133e-05,1.79952,-0.00405756,1.30538,-0.0036703,5.71419,-0.00599144,1.57576,-0.00535495,21.7388,-0.0264084,27.7955,-0.0189039,25.3528,-0.0134003,0.0175253,2.82404e-06,87.958,0.0460813,1.92967,0.000799527,0.003,0.06,0.000189602,0.01,0.06,0.00593573,0.03,0.0045,-0.0114035,0.0015,0.0001,2.72886e-05,0.09,0.6,-2.82404e-06,6,0.06,5.77892e-05,0.3,0.0009,-0.00663507,0.003,0.1,-0.00122694,0.3,0.0009,-0.00395923,0.01,0.0214,0.00678985,0.01,0.1,0.00277228,0.12,0.00024,0.0243714,0.003,0.1,-0.0284425,0.03,0.064,-0.0134978,0.1,0.021,0.0242739,0.009,0.0429,0.0139112,1,0.03,0.00268146,1,0.01,0.00319052,0.06,0.2,8.61091e-06,1,0.05,0.000140503,0.3,0.006,0.00252606,0.003,0.05,0.0344927
69,97.9349,20.1033,56.2146,4.33921,8.80585,149.925,5.3713,580.054,-0.000181117,1.35839,-0.00099491,10.4212,-0.00444728,0.0101517,-7.72602e-06,3.01999,-0.000137901,100.585,0.00245808,0.054255,-0.000181117,0.220174,-0.000391931,12.9363,0.0264613,4.06948,0.0162041,0.0660895,-0.000120855,1.31922,-0.0021916,0.057093,-5.63284e-05,1.79562,-0.00376089,1.30183,-0.00342433,5.70841,-0.00556748,1.57052,-0.00511506,21.7134,-0.0245039,27.7773,-0.0175113,25.3399,-0.0125266,0.017528,2.5963e-06,88.0024,0.0428444,1.93044,0.00074174,0.003,0.06,0.000181117,0.01,0.06,0.00556,0.03,0.0045,-0.0106441,0.0015,0.0001,2.58306e-05,0.09,0.6,-2.5963e-06,6,0.06,5.37321e-05,0.3,0.0009,-0.00722249,0.003,0.1,-0.001096,0.3,0.0009,-0.00413928,0.01,0.0214,0.00680417,0.01,0.1,0.00264809,0.12,0.00024,0.0241682,0.003,0.1,-0.0264521,0.03,0.064,-0.0130801,0.1,0.021,0.0236148,0.009,0.0429,0.0139397,1,0.03,0.00245808,1,0.01,0.00304002,0.06,0.2,7.72602e-06,1,0.05,0.000128581,0.3,0.006,0.00232018,0.003,0.05,0.0320213
70,97.9408,20.1375,56.1787,4.33698,8.79356,149.925,5.38366,580.054,-0.000172998,1.35743,-0.000926779,10.4169,-0.00412513,0.0101443,-6.96116e-06,3.01986,-0.000122979,100.587,0.00225721,0.054078,-0.000172998,0.219794,-0.000367359,12.9618,0.0245258,4.08514,0.0151406,0.0659737,-0.000110939,1.31712,-0.00201633,0.0570387,-5.23336e-05,1.79199,-0.0034863,1.29852,-0.0031934,5.70304,-0.00517235,1.56552,-0.00488551,21.6898,-0.0227381,27.7604,-0.0162262,25.3278,-0.0117086,0.0175305,2.39166e-06,88.0437,0.0398368,1.93116,0.000688213,0.003,0.06,0.000172998,0.01,0.06,0.00520453,0.03,0.0045,-0.00993607,0.0015,0.0001,2.44726e-05,0.09,0.6,-2.39166e-06,6,0.06,4.99419e-05,0.3,0.0009,-0.00776947,0.003,0.1,-0.000974929,0.3,0.0009,-0.00430647,0.01,0.0214,0.00681784,0.01,0.1,0.00252926,0.12,0.00024,0.0239779,0.003,0.1,-0.0246058,0.03,0.064,-0.0126861,0.1,0.021,0.0230004,0.009,0.0429,0.0139667,1,0.03,0.00225721,1,0.01,0.00289662,0.06,0.2,6.96116e-06,1,0.05,0.0001179,0.3,0.006,0.00213423,0.003,0.05,0.0297303
71,97.9465,20.1693,56.1453,4.33493,8.78213,149.925,5.39522,580.054,-0.000165229,1.35653,-0.000863345,10.413,-0.00382741,0.0101377,-6.29527e-06,3.01975,-0.000110175,100.589,0.00207586,0.0539089,-0.000165229,0.219438,-0.000344402,12.9854,0.0227378,4.09978,0.0141444,0.0658673,-0.000101995,1.31518,-0.0018574,0.0569883,-4.86121e-05,1.78864,-0.00323213,1.29544,-0.00297685,5.69805,-0.00480433,1.56075,-0.00466588,21.6678,-0.0211009,27.7448,-0.0150396,25.3164,-0.0109429,0.0175328,2.20696e-06,88.0821,0.0370422,1.93182,0.000638628,0.003,0.06,0.000165229,0.01,0.06,0.00486855,0.03,0.0045,-0.00927589,0.0015,0.0001,2.32075e-05,0.09,0.6,-2.20696e-06,6,0.06,4.64051e-05,0.3,0.0009,-0.00827852,0.003,0.1,-0.000862931,0.3,0.0009,-0.00446165,0.01,0.0214,0.00683086,0.01,0.1,0.00241556,0.12,0.00024,0.0237999,0.003,0.1,-0.0228928,0.03,0.064,-0.0123148,0.1,0.021,0.0224279,0.009,0.0429,0.0139922,1,0.03,0.00207586,1,0.01,0.00275996,0.06,0.2,6.29527e-06,1,0.05,0.00010829,0.3,0.006,0.00196569,0.003,0.05,0.0276063
72,97.9519,20.1989,56.1142,4.33304,8.77151,149.926,5.40602,580.054,-0.000157796,1.3557,-0.00080428,10.4093,-0.00355213,0.0101317,-5.71207e-06,3.01964,-9.91193e-05,100.591,0.00191158,0.0537474,-0.000157796,0.219105,-0.000322949,13.0073,0.0210853,4.11345,0.0132117,0.0657694,-9.38991e-05,1.3134,-0.00171285,0.0569414,-4.51478e-05,1.78552,-0.00299686,1.29256,-0.00277402,5.69342,-0.00446177,1.55619,-0.00445576,21.6475,-0.0195827,27.7303,-0.0139436,25.3059,-0.0102261,0.0175349,2.03977e-06,88.1179,0.0344455,1.93243,0.000592692,0.003,0.06,0.000157796,0.01,0.06,0.0045513,0.03,0.0045,-0.00866039,0.0015,0.0001,2.20293e-05,0.09,0.6,-2.03977e-06,6,0.06,4.3108e-05,0.3,0.0009,-0.00875208,0.003,0.1,-0.000759292,0.3,0.0009,-0.00460565,0.01,0.0214,0.00684322,0.01,0.1,0.00230678,0.12,0.00024,0.0236335,0.003,0.1,-0.0213032,0.03,0.064,-0.0119652,0.1,0.021,0.0218944,0.009,0.0429,0.0140163,1,0.03,0.00191158,1,0.01,0.00262973,0.06,0.2,5.71207e-06,1,0.05,9.96112e-05,0.3,0.006,0.00181246,0.003,0.05,0.0256366
73,97.957,20.2264,56.0854,4.3313,8.76164,149.926,5.41611,580.054,-0.000150685,1.35492,-0.000749279,10.4058,-0.00329752,0.0101263,-5.19931e-06,3.01955,-8.95151e-05,100.593,0.00176231,0.0535932,-0.000150685,0.218792,-0.000302897,13.0277,0.0195577,4.12622,0.0123386,0.0656793,-8.65464e-05,1.31175,-0.00158105,0.0568979,-4.19245e-05,1.78264,-0.00277905,1.28988,-0.0025842,5.68912,-0.00414305,1.55184,-0.00425475,21.6286,-0.0181748,27.7169,-0.012931,25.296,-0.00955523,0.0175369,1.88812e-06,88.1511,0.0320325,1.93301,0.000550131,0.003,0.06,0.000150685,0.01,0.06,0.00425199,0.03,0.0045,-0.00808659,0.0015,0.0001,2.09318e-05,0.09,0.6,-1.88812e-06,6,0.06,4.00364e-05,0.3,0.0009,-0.00919247,0.003,0.1,-0.000663357,0.3,0.0009,-0.00473924,0.01,0.0214,0.00685493,0.01,0.1,0.00220272,0.12,0.00024,0.023478,0.003,0.1,-0.0198279,0.03,0.064,-0.0116361,0.1,0.021,0.0213972,0.009,0.0429,0.0140389,1,0.03,0.00176231,1,0.01,0.00250562,0.06,0.2,5.19931e-06,1,0.05,9.17457e-05,0.3,0.006,0.00167279,0.003,0.05,0.0238097
74,97.9619,20.252,56.0585,4.32969,8.75248,149.926,5.42554,580.053,-0.000143882,1.3542,-0.000698059,10.4027,-0.00306194,0.0101213,-4.74559e-06,3.01946,-8.11189e-05,100.595,0.0016263,0.0534459,-0.000143882,0.218499,-0.000284149,13.0465,0.0181449,4.13815,0.0115215,0.0655961,-7.98505e-05,1.31023,-0.00146059,0.0568575,-3.89263e-05,1.77996,-0.00257738,1.28739,-0.00240673,5.68513,-0.00384664,1.54768,-0.00406249,21.6111,-0.016869,27.7044,-0.0119949,25.2867,-0.00892745,0.0175387,1.74999e-06,88.182,0.0297903,1.93354,0.000510695,0.003,0.06,0.000143882,0.01,0.06,0.00396984,0.03,0.0045,-0.0075517,0.0015,0.0001,1.99096e-05,0.09,0.6,-1.74999e-06,6,0.06,3.71763e-05,0.3,0.0009,-0.00960188,0.003,0.1,-0.000574524,0.3,0.0009,-0.00486314,0.01,0.0214,0.006866,0.01,0.1,0.00210319,0.12,0.00024,0.023333,0.003,0.1,-0.0184584,0.03,0.064,-0.0113266,0.1,0.021,0.0209338,0.009,0.0429,0.0140602,1,0.03,0.0016263,1,0.01,0.00238733,0.06,0.2,4.74559e-06,1,0.05,8.4596e-05,0.3,0.006,0.00154518,0.003,0.05,0.0221148
75,97.9665,20.2758,56.0335,4.32821,8.74397,149.926,5.43435,580.053,-0.000137376,1.35353,-0.000650358,10.3997,-0.00284387,0.0101168,-4.34152e-06,3.01939,-7.37348e-05,100.596,0.00150207,0.0533053,-0.000137376,0.218223,-0.000266617,13.064,0.016838,4.14928,0.0107572,0.0655194,-7.3738e-05,1.30883,-0.00135026,0.05682,-3.61384e-05,1.77748,-0.00239064,1.28507,-0.0022409,5.68142,-0.00357107,1.54371,-0.0038786,21.5949,-0.0156578,27.6929,-0.0111294,25.2781,-0.00834005,0.0175404,1.62371e-06,88.2107,0.0277066,1.93403,0.000474148,0.003,0.06,0.000137376,0.01,0.06,0.00370408,0.03,0.0045,-0.00705309,0.0015,0.0001,1.89575e-05,0.09,0.6,-1.62371e-06,6,0.06,3.45146e-05,0.3,0.0009,-0.0099824,0.003,0.1,-0.000492243,0.3,0.0009,-0.00497806,0.01,0.0214,0.00687645,0.01,0.1,0.00200799,0.12,0.00024,0.0231976,0.003,0.1,-0.017187,0.03,0.064,-0.0110357,0.1,0.021,0.0205019,0.009,0.0429,0.0140802,1,0.03,0.00150207,1,0.01,0.00227461,0.06,0.2,4.34152e-06,1,0.05,7.80795e-05,0.3,0.006,0.00142834,0.003,0.05,0.0205421
76,97.971,20.298,56.0102,4.32684,8.73606,149.926,5.44258,580.053,-0.000131154,1.3529,-0.000605933,10.397,-0.00264195,0.0101126,-3.97926e-06,3.01932,-6.72018e-05,100.598,0.00138834,0.0531711,-0.000131154,0.217965,-0.000250219,13.0802,0.0156287,4.15968,0.0100423,0.0654485,-6.81462e-05,1.30753,-0.00124902,0.0567852,-3.35469e-05,1.77517,-0.00221769,1.2829,-0.00208607,5.67798,-0.00331495,1.53992,-0.00370275,21.5798,-0.0145343,27.6821,-0.0103287,25.27,-0.00779053,0.0175419,1.50787e-06,88.2374,0.02577,1.93448,0.000440275,0.003,0.06,0.000131154,0.01,0.06,0.00345391,0.03,0.0045,-0.00658834,0.0015,0.0001,1.80708e-05,0.09,0.6,-1.50787e-06,6,0.06,3.20391e-05,0.3,0.0009,-0.010336,0.003,0.1,-0.000416008,0.3,0.0009,-0.00508463,0.01,0.0214,0.0068863,0.01,0.1,0.00191695,0.12,0.00024,0.0230714,0.003,0.1,-0.0160065,0.03,0.064,-0.0107624,0.1,0.021,0.0200995,0.009,0.0429,0.014099,1,0.03,0.00138834,1,0.01,0.00216717,0.06,0.2,3.97926e-06,1,0.05,7.21254e-05,0.3,0.006,0.00132114,0.003,0.05,0.0190826
77,97.9752,20.3186,55.9886,4.32558,8.72872,149.926,5.45027,580.053,-0.000125204,1.35231,-0.000564555,10.3944,-0.00245492,0.0101088,-3.65371e-06,3.01925,-6.13933e-05,100.599,0.00128404,0.0530429,-0.000125204,0.217723,-0.000234876,13.0953,0.0145092,4.16938,0.00937377,0.065383,-6.30194e-05,1.30633,-0.00115598,0.0567528,-3.11392e-05,1.77304,-0.00205749,1.28089,-0.00194158,5.67479,-0.00307696,1.5363,-0.0035346,21.5658,-0.013492,27.6722,-0.00958793,25.2625,-0.00727651,0.0175434,1.40161e-06,88.2623,0.0239702,1.93491,0.000408877,0.003,0.06,0.000125204,0.01,0.06,0.0032186,0.03,0.0045,-0.00615517,0.0015,0.0001,1.72449e-05,0.09,0.6,-1.40161e-06,6,0.06,2.97376e-05,0.3,0.0009,-0.0106645,0.003,0.1,-0.000345357,0.3,0.0009,-0.00518345,0.01,0.0214,0.00689558,0.01,0.1,0.0018299,0.12,0.00024,0.0229537,0.003,0.1,-0.0149103,0.03,0.064,-0.0105058,0.1,0.021,0.0197244,0.009,0.0429,0.0141166,1,0.03,0.00128404,1,0.01,0.00206478,0.06,0.2,3.65371e-06,1,0.05,6.66731e-05,0.3,0.006,0.00122265,0.003,0.05,0.0177278
78,97.9792,20.3378,55.9685,4.32441,8.7219,149.926,5.45746,580.053,-0.000119514,1.35177,-0.000526015,10.3921,-0.00228163,0.0101053,-3.36059e-06,3.01919,-5.62052e-05,100.6,0.00118823,0.0529206,-0.000119514,0.217495,-0.000220518,13.1093,0.0134727,4.17844,0.00874883,0.0653223,-5.83103e-05,1.30521,-0.00107035,0.0567228,-2.89024e-05,1.77106,-0.00190908,1.27902,-0.00180681,5.67182,-0.00285586,1.53285,-0.00337382,21.5528,-0.012525,27.6629,-0.00890222,25.2555,-0.00679577,0.0175447,1.30403e-06,88.2854,0.0222973,1.9353,0.000379769,0.003,0.06,0.000119514,0.01,0.06,0.00299738,0.03,0.0045,-0.00575145,0.0015,0.0001,1.64758e-05,0.09,0.6,-1.30403e-06,6,0.06,2.75984e-05,0.3,0.0009,-0.0109697,0.003,0.1,-0.000279862,0.3,0.0009,-0.00527507,0.01,0.0214,0.00690429,0.01,0.1,0.00174667,0.12,0.00024,0.0228441,0.003,0.1,-0.0138921,0.03,0.064,-0.010265,0.1,0.021,0.0193749,0.009,0.0429,0.014133,1,0.03,0.00118823,1,0.01,0.00196718,0.06,0.2,3.36059e-06,1,0.05,6.16709e-05,0.3,0.006,0.00113202,0.003,0.05,0.0164701
79,97.9831,20.3556,55.9497,4.32332,8.71556,149.926,5.46417,580.053,-0.000114074,1.35126,-0.000490119,10.3899,-0.00212101,0.0101021,-3.09522e-06,3.01914,-5.15523e-05,100.601,0.00110009,0.0528038,-0.000114074,0.217281,-0.000207078,13.1222,0.0125127,4.18689,0.00816473,0.0652662,-5.39799e-05,1.30418,-0.000991467,0.056695,-2.68249e-05,1.76922,-0.00177157,1.27728,-0.00168116,5.66907,-0.00265049,1.52955,-0.00322011,21.5407,-0.0116278,27.6544,-0.00826734,25.2489,-0.00634623,0.017546,1.21416e-06,88.3069,0.0207424,1.93567,0.00035278,0.003,0.06,0.000114074,0.01,0.06,0.00278954,0.03,0.0045,-0.00537519,0.0015,0.0001,1.57594e-05,0.09,0.6,-1.21416e-06,6,0.06,2.56107e-05,0.3,0.0009,-0.0112532,0.003,0.1,-0.000219133,0.3,0.0009,-0.00536003,0.01,0.0214,0.00691248,0.01,0.1,0.00166709,0.12,0.00024,0.0227421,0.003,0.1,-0.0129463,0.03,0.064,-0.010039,0.1,0.021,0.0190493,0.009,0.0429,0.0141484,1,0.03,0.00110009,1,0.01,0.00187417,0.06,0.2,3.09522e-06,1,0.05,5.70751e-05,0.3,0.006,0.00104854,0.003,0.05,0.0153023
